                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0179,                 2.2704,                 1.2947,                 0.8505,                 0.7744,                0.86293,                0.61211,                0.97463,                 1.6475,                 1.3226,               0.070186,              0.0033126,              0.0033126
                      1,                0.96584,                 1.2347,                 1.2187,                0.74478,                0.67665,                0.74681,                0.50373,                 1.1643,                 1.7335,                 1.5189,               0.040121,              0.0065802,              0.0065802
                      2,                 1.0519,                 1.2109,                 1.2756,                0.78827,                0.73278,                 0.8174,                 0.5284,                 1.1613,                 1.5221,                 1.4651,              0.0099887,              0.0097817,              0.0097817
                      3,                 1.1268,                 1.2322,                 1.3267,                0.74205,                0.76017,                0.78554,                0.52405,                 1.2392,                 1.3613,                 1.5841,               0.009703,               0.009703,               0.009703
                      4,                 1.1407,                 1.1817,                 1.3229,                0.70757,                0.60025,                0.68251,                 0.4554,                 1.3818,                 1.6585,                 1.6853,               0.009703,               0.009703,               0.009703
                      5,                 1.1006,                  1.098,                 1.2983,                0.82177,                0.84199,                0.90049,                0.65059,                 1.0169,                0.96366,                  1.316,               0.009604,               0.009604,               0.009604
                      6,                 1.0771,                 1.0453,                 1.2899,                 0.7604,                0.80469,                0.85592,                0.60158,                 1.0787,                 1.0885,                  1.345,               0.009505,               0.009505,               0.009505
                      7,                 1.0458,                0.98161,                 1.2607,                0.85747,                0.84936,                0.92775,                0.68369,                0.95335,                0.84188,                 1.2723,               0.009406,               0.009406,               0.009406
                      8,                  1.019,                0.93583,                 1.2586,                0.87442,                0.87361,                0.92547,                0.69404,                0.91307,                0.79924,                 1.2388,               0.009307,               0.009307,               0.009307
                      9,                 0.9906,                0.87475,                 1.2315,                0.89447,                0.86464,                0.93152,                0.69292,                0.94832,                0.74416,                 1.2827,               0.009208,               0.009208,               0.009208
                     10,                0.96977,                0.84909,                 1.2164,                0.94777,                0.93521,                0.97014,                0.75455,                0.83529,                0.60914,                 1.1667,               0.009109,               0.009109,               0.009109
                     11,                0.95028,                0.81622,                 1.2022,                0.89344,                0.81717,                0.90882,                0.65886,                 1.0477,                0.85612,                 1.3801,                0.00901,                0.00901,                0.00901
                     12,                0.94914,                 0.7948,                 1.2096,                0.94249,                0.90334,                0.95737,                0.74503,                 0.8423,                0.65116,                 1.1824,               0.008911,               0.008911,               0.008911
                     13,                0.94192,                0.78555,                 1.2011,                0.95354,                0.93527,                0.97794,                0.76159,                0.83982,                0.55211,                 1.1746,               0.008812,               0.008812,               0.008812
                     14,                0.93301,                0.77372,                 1.1984,                0.96126,                0.93642,                0.97862,                0.77444,                0.82991,                0.52547,                 1.1696,               0.008713,               0.008713,               0.008713
                     15,                0.90389,                 0.7415,                 1.1803,                0.94698,                0.92063,                0.96897,                0.78178,                 0.7731,                0.55205,                 1.1375,               0.008614,               0.008614,               0.008614
                     16,                0.87748,                0.71657,                 1.1634,                 0.9551,                  0.934,                0.97978,                0.77766,                0.80194,                0.51512,                 1.1521,               0.008515,               0.008515,               0.008515
                     17,                0.86755,                0.69092,                 1.1579,                0.96495,                0.94342,                0.98116,                0.79643,                0.76487,                0.46816,                 1.1265,               0.008416,               0.008416,               0.008416
                     18,                0.87999,                  0.694,                 1.1663,                0.95873,                0.94131,                0.98241,                0.77471,                0.78993,                0.49508,                  1.146,               0.008317,               0.008317,               0.008317
                     19,                0.87062,                0.66978,                 1.1528,                0.95649,                0.94686,                0.98209,                0.80286,                0.74935,                0.48137,                 1.1099,               0.008218,               0.008218,               0.008218
                     20,                0.85772,                0.67032,                 1.1477,                0.96097,                0.95071,                0.98325,                0.79152,                0.78228,                0.47647,                 1.1197,               0.008119,               0.008119,               0.008119
                     21,                0.84581,                0.67435,                 1.1373,                0.93207,                0.92793,                0.96306,                0.76001,                0.84045,                0.54959,                 1.1861,                0.00802,                0.00802,                0.00802
                     22,                0.84329,                0.66002,                 1.1409,                0.96732,                0.95139,                0.98206,                0.79935,                0.75383,                0.44453,                 1.1037,               0.007921,               0.007921,               0.007921
                     23,                0.83484,                0.64461,                 1.1341,                0.96366,                0.95628,                0.98552,                0.82283,                 0.7071,                0.44049,                 1.0807,               0.007822,               0.007822,               0.007822
                     24,                0.83642,                0.64004,                 1.1334,                0.95701,                0.96349,                0.98531,                0.81875,                0.69851,                 0.4278,                 1.0698,               0.007723,               0.007723,               0.007723
                     25,                0.80704,                0.60618,                 1.1151,                0.96481,                0.97464,                0.98854,                 0.8159,                0.72367,                0.43051,                 1.0832,               0.007624,               0.007624,               0.007624
                     26,                0.82217,                0.62101,                 1.1231,                0.97433,                0.96086,                0.98766,                0.80992,                0.73328,                0.43978,                 1.0868,               0.007525,               0.007525,               0.007525
                     27,                0.80738,                0.60994,                 1.1159,                0.96727,                0.97057,                0.98762,                0.81251,                0.70746,                 0.4218,                 1.0874,               0.007426,               0.007426,               0.007426
                     28,                 0.8121,                0.60599,                 1.1253,                0.96123,                0.95184,                0.98699,                0.82542,                 0.6946,                0.41967,                 1.0741,               0.007327,               0.007327,               0.007327
                     29,                0.78534,                0.58735,                 1.1059,                0.96513,                0.95545,                0.98669,                0.81418,                0.71414,                0.42185,                 1.0802,               0.007228,               0.007228,               0.007228
                     30,                  0.783,                0.58355,                 1.0958,                0.97493,                0.95339,                0.98801,                 0.8181,                0.71655,                0.42658,                 1.0887,               0.007129,               0.007129,               0.007129
                     31,                0.76625,                0.56172,                  1.095,                 0.9746,                0.96847,                0.98921,                0.82674,                0.67066,                 0.3792,                 1.0552,                0.00703,                0.00703,                0.00703
                     32,                0.78178,                0.56818,                 1.1043,                0.98177,                0.95749,                0.98942,                0.82088,                0.69977,                0.40831,                 1.0581,               0.006931,               0.006931,               0.006931
                     33,                0.77539,                0.57199,                 1.1019,                 0.9684,                0.96676,                0.98732,                0.82635,                0.68364,                0.40253,                 1.0663,               0.006832,               0.006832,               0.006832
                     34,                 0.7672,                0.55898,                 1.0969,                0.97724,                0.94886,                0.98714,                0.83609,                0.66773,                0.39589,                 1.0446,               0.006733,               0.006733,               0.006733
                     35,                0.76252,                0.55471,                 1.0869,                0.97534,                0.96448,                 0.9907,                0.83707,                0.65107,                0.37087,                  1.041,               0.006634,               0.006634,               0.006634
                     36,                0.74907,                0.54951,                 1.0885,                0.98215,                0.95121,                0.98486,                0.83374,                0.67069,                0.40194,                 1.0486,               0.006535,               0.006535,               0.006535
                     37,                 0.7412,                0.53166,                  1.076,                0.97028,                0.96655,                0.98989,                0.83977,                0.65668,                0.37922,                 1.0418,               0.006436,               0.006436,               0.006436
                     38,                0.73553,                0.53326,                 1.0784,                 0.9752,                 0.9671,                0.98954,                0.83227,                0.69444,                0.38097,                 1.0615,               0.006337,               0.006337,               0.006337
                     39,                0.74544,                 0.5263,                   1.08,                0.97501,                0.96766,                   0.99,                0.84131,                0.66395,                0.37204,                 1.0464,               0.006238,               0.006238,               0.006238
                     40,                0.73794,                0.52258,                 1.0741,                 0.9702,                0.97511,                0.99217,                0.85396,                0.63985,                 0.3663,                  1.028,               0.006139,               0.006139,               0.006139
                     41,                0.72721,                0.51417,                 1.0712,                0.97921,                0.97109,                0.98808,                0.83283,                0.66843,                 0.3788,                 1.0457,                0.00604,                0.00604,                0.00604
                     42,                0.72509,                0.52363,                 1.0681,                0.97667,                0.98422,                0.98911,                 0.8394,                0.67422,                0.36185,                 1.0469,               0.005941,               0.005941,               0.005941
